age,monthly_income,dependents,horizon_years,emergency_fund,drop_reaction,goal_type,experience,monthly_investable,risk_label
24,78855,0,5,no,buy_more,child_education,none,19944,Aggressive
51,34896,2,2,yes,hold,wealth_creation,none,6038,Conservative
47,15000,0,20,yes,buy_more,wealth_creation,none,3782,Aggressive
38,22133,1,20,yes,hold,retirement,some,6916,Aggressive
38,92942,1,3,no,buy_more,retirement,none,22849,Conservative
55,40922,0,20,yes,hold,wealth_creation,none,4008,Aggressive
24,34967,0,1,yes,hold,wealth_creation,some,6113,Aggressive
48,102661,1,20,no,buy_more,short_term,some,22055,Moderate
29,86623,1,15,no,hold,retirement,some,7628,Aggressive
24,49563,4,3,yes,hold,short_term,experienced,12047,Aggressive
42,42957,1,7,yes,hold,retirement,none,11339,Aggressive
60,46191,3,10,yes,buy_more,retirement,some,12875,Aggressive
50,54296,1,3,yes,hold,wealth_creation,some,4667,Moderate
51,100712,0,5,no,sell,wealth_creation,some,26340,Conservative
49,59284,0,7,no,buy_more,retirement,some,9476,Moderate
52,67962,1,2,yes,hold,retirement,some,7704,Conservative
41,82964,0,2,yes,sell,tax_saving,some,17198,Conservative
26,28959,3,3,yes,sell,wealth_creation,experienced,6423,Moderate
54,68850,2,10,yes,sell,wealth_creation,experienced,12876,Aggressive
39,42935,1,5,yes,hold,wealth_creation,experienced,12977,Aggressive
41,15799,1,7,yes,sell,wealth_creation,some,1528,Aggressive
35,18813,1,3,yes,sell,retirement,some,3238,Moderate
28,31003,2,3,yes,hold,wealth_creation,some,4033,Aggressive
58,62258,0,7,no,buy_more,tax_saving,some,4024,Moderate
52,51596,0,2,no,hold,tax_saving,none,7828,Conservative
46,53261,0,10,yes,hold,child_education,none,14136,Moderate
37,117939,0,5,yes,hold,child_education,experienced,24410,Aggressive
53,27692,2,10,no,sell,retirement,some,4863,Moderate
42,48419,0,5,yes,buy_more,retirement,none,9316,Aggressive
38,56218,0,15,no,sell,child_education,some,8081,Moderate
39,35195,3,1,yes,sell,wealth_creation,none,3049,Conservative
30,49649,4,15,no,hold,wealth_creation,experienced,11276,Aggressive
24,23861,1,3,yes,sell,short_term,none,7029,Conservative
43,92453,1,1,no,sell,tax_saving,some,26507,Conservative
56,36072,2,7,yes,hold,retirement,some,4328,Moderate
23,122287,0,3,no,hold,retirement,some,22046,Moderate
55,48309,1,5,no,sell,retirement,none,10417,Conservative
54,77856,0,10,yes,hold,retirement,some,22635,Aggressive
32,47858,1,10,no,hold,retirement,some,5214,Aggressive
46,48347,4,7,yes,buy_more,tax_saving,none,4335,Moderate
27,37691,2,20,yes,sell,wealth_creation,none,12418,Moderate
51,51720,4,5,yes,buy_more,retirement,some,4846,Aggressive
49,56562,2,1,no,hold,retirement,none,19611,Conservative
35,34443,2,15,no,hold,child_education,none,7911,Moderate
23,46338,2,3,yes,sell,retirement,some,9253,Moderate
59,37251,2,2,no,hold,wealth_creation,some,3974,Conservative
38,137977,1,1,no,sell,tax_saving,experienced,42517,Conservative
56,47080,0,5,no,hold,retirement,experienced,4785,Moderate
48,98258,1,5,yes,hold,retirement,some,16741,Moderate
52,44889,0,3,yes,sell,retirement,none,2891,Conservative
51,55087,1,7,yes,sell,child_education,none,3126,Conservative
28,27048,0,10,yes,buy_more,tax_saving,none,7272,Aggressive
35,40087,1,20,yes,hold,tax_saving,some,4502,Aggressive
39,53892,0,2,no,hold,child_education,some,12407,Moderate
40,100077,0,2,no,buy_more,tax_saving,experienced,26722,Aggressive
22,54170,1,7,no,sell,wealth_creation,some,10700,Moderate
42,91370,0,2,yes,hold,wealth_creation,none,22561,Moderate
27,65403,4,5,yes,buy_more,wealth_creation,some,8001,Aggressive
50,101959,1,7,no,hold,wealth_creation,none,30114,Conservative
48,47735,1,10,yes,hold,short_term,none,5340,Moderate
57,143716,0,3,no,buy_more,retirement,none,32649,Conservative
50,39401,3,10,yes,sell,retirement,none,11850,Conservative
35,34720,2,7,yes,sell,wealth_creation,none,9997,Moderate
59,28437,1,15,no,hold,retirement,some,1859,Moderate
37,139938,0,3,no,buy_more,child_education,experienced,22411,Moderate
34,70880,2,10,yes,hold,wealth_creation,experienced,21673,Aggressive
57,42177,4,10,no,sell,retirement,none,12875,Conservative
35,85996,1,3,yes,hold,tax_saving,some,20718,Moderate
24,66800,0,7,yes,hold,short_term,experienced,5514,Aggressive
39,118747,0,10,yes,hold,wealth_creation,experienced,20339,Aggressive
52,24427,0,3,no,buy_more,wealth_creation,experienced,8264,Moderate
28,43503,2,5,no,hold,short_term,some,3565,Moderate
39,39809,4,5,yes,hold,retirement,experienced,11561,Moderate
26,20167,4,10,no,hold,tax_saving,some,3536,Moderate
48,78995,2,1,no,buy_more,tax_saving,none,21598,Conservative
40,43404,0,7,yes,hold,child_education,none,2877,Aggressive
34,68379,4,3,yes,sell,child_education,experienced,3630,Conservative
30,141760,0,7,yes,hold,child_education,experienced,19873,Aggressive
43,41816,0,10,yes,hold,retirement,some,13007,Aggressive
47,40557,2,7,no,hold,child_education,some,10299,Conservative
58,51709,0,7,no,sell,short_term,none,12076,Conservative
38,76439,3,3,yes,sell,wealth_creation,some,26700,Conservative
27,37986,4,3,yes,sell,child_education,some,5857,Conservative
54,36903,2,10,yes,sell,child_education,none,11258,Moderate
46,78884,2,2,yes,sell,short_term,some,6539,Conservative
49,58127,1,10,yes,sell,retirement,some,5883,Conservative
24,19533,0,7,yes,sell,retirement,experienced,3778,Aggressive
33,28242,2,15,yes,sell,child_education,experienced,9541,Aggressive
51,96332,1,3,yes,buy_more,child_education,none,25144,Moderate
54,58739,3,7,yes,hold,wealth_creation,none,4919,Moderate
38,34787,0,1,yes,hold,wealth_creation,none,11704,Moderate
53,45402,0,15,yes,hold,tax_saving,none,12699,Aggressive
54,49313,1,10,yes,hold,retirement,some,13362,Aggressive
36,68260,2,7,yes,sell,tax_saving,some,14706,Moderate
56,26603,2,10,yes,hold,child_education,none,4470,Moderate
32,33576,4,3,no,hold,wealth_creation,experienced,2785,Moderate
30,55427,0,7,yes,hold,short_term,some,13077,Aggressive
48,46867,1,10,no,sell,tax_saving,none,4138,Conservative
46,63407,0,2,yes,hold,wealth_creation,some,14392,Conservative
26,28189,0,20,yes,sell,wealth_creation,none,5973,Aggressive
54,57567,1,15,yes,sell,tax_saving,some,13180,Moderate
28,80114,1,20,no,hold,short_term,some,23876,Aggressive
53,61026,1,10,no,sell,tax_saving,none,10579,Conservative
21,52187,1,3,yes,hold,child_education,some,9444,Aggressive
52,46950,2,7,yes,sell,retirement,experienced,3192,Moderate
52,33668,3,2,no,hold,child_education,some,4589,Conservative
52,47458,0,10,yes,hold,tax_saving,some,3526,Aggressive
47,86410,0,2,yes,buy_more,wealth_creation,experienced,7995,Aggressive
39,46464,2,15,no,hold,retirement,experienced,8272,Aggressive
49,32846,2,3,yes,buy_more,wealth_creation,experienced,5654,Aggressive
32,39280,3,2,no,sell,wealth_creation,none,12992,Conservative
52,53657,0,1,yes,hold,child_education,none,4603,Conservative
43,41436,1,10,yes,hold,short_term,some,3927,Aggressive
39,60985,3,3,no,hold,retirement,experienced,16786,Moderate
41,62024,1,3,yes,hold,wealth_creation,some,3517,Moderate
43,73133,1,2,yes,buy_more,wealth_creation,experienced,17938,Aggressive
22,93022,4,3,yes,buy_more,child_education,some,25512,Aggressive
26,76736,0,20,yes,hold,short_term,none,18316,Aggressive
30,32195,2,5,yes,hold,retirement,experienced,4389,Aggressive
25,32643,3,3,yes,sell,retirement,experienced,2646,Moderate
38,47377,0,2,yes,hold,retirement,some,16499,Moderate
